groupby_label,string_label,domain,sourceName,checked,revised
0,24dash,24dash.com,24dash,,
1,@W_Nuclear_News,twitter.com,@W_Nuclear_News,,
2,A World to Win blogs,aworldtowin.net,A World to Win blogs,,
3,Agra-net.com,agra-net.com,Agra-net.com,,
4,Al-Sharq al-Awsat,aawsat.com,Al-Sharq al-Awsat,,
4,Al-Sharq al-Awsat,asharq-e.com,Al-Sharq al-Awsat,,
4,Al-Sharq al-Awsat,asharqalawsat.com,Al-Sharq al-Awsat,,
4,Al-Sharq al-Awsat,asharq-e.com,Asharq Al-Awsat,,
4,Al-Sharq al-Awsat,asharq-e.com,Asharq Alawsatt,,
5,Alliance for Workers' Liberty,workersliberty.org,Alliance for Workers'' Liberty,,
6,Ananova,ananova.com,Ananova,,
6,Ananova,orange.co.uk,Ananova,,
6,Ananova,orange.co.uk,Ananova - Orange News,,
7,Andover Advertiser,andoveradvertiser.co.uk,Andover Advertiser,,
8,Ayrshire Post,ayrshirepost.net,Ayrshire Post,,
8,Ayrshire Post,icnetwork.co.uk,Ayrshire Post,,
9,BBC News,bbc.co.uk,BBC - Leicester News,,
9,BBC News,bbc.co.uk,BBC News - UK,,
9,BBC News,bbc.co.uk,BBC News Europe,,
9,BBC News,bbc.co.uk,GFM Radio,,
9,BBC News,bbc.co.uk,Manchester Evening News,,
9,BBC News,bbc.co.uk,Ulster Defence League on Facebook,,
10,Bakery and Snacks,bakeryandsnacks.com,Bakery and Snacks,,
10,Bakery and Snacks,bakeryandsnacks.com,Food Navigator,,
11,Ballyclare Gazette,ballyclaregazette.co.uk,Ballyclare Gazette,,
12,Ballymena Times,ballymenatimes.com,Ballymena Times,,
12,Ballymena Times,ballymenatimes.com,Ballymena Today,,
13,Ballymoney Today,ballymoneytimes.co.uk,Ballymoney Today,,
14,Banbridge Leader,banbridgeleader.co.uk,Banbridge Leader,,
14,Banbridge Leader,banbridgeleader.co.uk,Banbridge Today,,
15,Banbury Guardian,banburyguardian.co.uk,Banbury Guardian,,
16,Barking and Dagenham Post,bdpost.co.uk,Barking and Dagenham Post,,
17,Barnet Times,times-series.co.uk,Barnet Times,check,ok
18,Barnsley Chronicle,barnsley-chronicle.co.uk,Barnesley Chronicle,,
18,Barnsley Chronicle,barnsley-chronicle.co.uk,Barnsley Chronicle,,
19,Basingstoke Gazette,basingstokegazette.co.uk,Basingstoke Gazette,,
20,Beccles and Bungay Journal,becclesandbungayjournal.co.uk,Beccles and Bungay Journal,,
21,Bedford Times and Citizen,bedfordtoday.co.uk,Bedford Times and Citizen,,
21,Bedford Times and Citizen,bedfordtoday.co.uk,Bedford Today,,
21,Bedford Times and Citizen,feedsportal.com,Bedford Today,,
22,Belfast Media,belfastmedia.com,Andersontown News,,
22,Belfast Media,irelandclick.com,Andersontown News,,
22,Belfast Media,belfastmedia.com,Belfast Media,,
23,Belfast Telegraph,belfasttelegraph.co.uk,Belfast Telegraph,,
23,Belfast Telegraph,feedsportal.com,Belfast Telegraph,,
24,Belfast Today,newsletter.co.uk,Belfast Today,,
25,Berwick Today,berwick-advertiser.co.uk,Berwick Advertiser,,
25,Berwick Today,berwick-advertiser.co.uk,Berwick Today,,
25,Berwick Today,berwicktoday.co.uk,Berwick Today,,
26,Bexhill Observer,bexhillobserver.net,Bexhill Observer,,
26,Bexhill Observer,feedsportal.com,Bexhill Observer,check,ok
26,Bexhill Observer,bexhillobserver.net,Bexhill Today,,
27,Birmingham Mail,birminghammail.co.uk,Birmingham Mail,,
28,Bishop's Stortford Citizen,bishopsstortfordcitizen.co.uk,Bishop''s Stortford Citizen,,
28,Bishop's Stortford Citizen,citizen-series.co.uk,Bishop's Stortford Citizen,check,ok
29,Blackburn Citizen,blackburncitizen.co.uk,Blackburn Citizen,,
30,Blackpool Citizen,blackpoolcitizen.co.uk,Blackpool Citizen,,
31,Blackpool Today,blackpoolgazette.co.uk,Blackpool Today,,
32,Bognor Today,bognor.co.uk,Bognor Regis Observer,,
32,Bognor Today,feedsportal.com,Bognor Regis Observer,check,ok
32,Bognor Today,bognor.co.uk,Bognor Today,,
33,Bolton News,boltoneveningnews.co.uk,Bolton News,,
33,Bolton News,theboltonnews.co.uk,Bolton News,,
33,Bolton News,theboltonnews.co.uk,Bury Times,,
34,Border Telegraph,bordertelegraph.com,Border Telegraph,,
35,Borehamwood and Elstree Times,borehamwoodtimes.co.uk,Borehamwood & Elstree Times,,
35,Borehamwood and Elstree Times,borehamwoodtimes.co.uk,Borehamwood and Elstree Times,,
36,Boston Standard,bostonstandard.co.uk,Boston Standard,,
36,Boston Standard,bostonstandard.co.uk,Boston Today,,
37,Bournemouth Daily Echo,bournemouthecho.co.uk,Dorset Daily Echo,,
37,Bournemouth Daily Echo,thisisdorset.net,Dorset Daily Echo,,
38,Bracknell Times,getbracknell.co.uk,Bracknell Forest Standard,check,ok
38,Bracknell Times,getbracknell.co.uk,Bracknell Times,,
39,Bradford Telegraph & Argus,thetelegraphandargus.co.uk,Bradford Telegraph & Argus,,
40,Brechin Today,brechinadvertiser.co.uk,Brechin Advertiser,,
40,Brechin Today,brechinadvertiser.co.uk,Brechin Today,,
