label,count,mean,std,min,25%,50%,75%,max,zero_transcripts
24dash,626.0,69.73162939297124,93.58713513074771,0.0,0.0,0.0,162.0,299.0,0.5686900958466453
A World to Win blogs,626.0,2.47444089456869,26.042368281070384,0.0,0.0,0.0,0.0,528.0,0.8706070287539937
Agra-net.com,626.0,22.988817891373802,52.56083594046411,0.0,0.0,0.0,4.75,213.0,0.7140575079872205
Al-Sharq al-Awsat,626.0,56.98402555910543,61.73685888032323,0.0,0.0,7.5,127.0,166.0,0.4792332268370607
Alliance for Workers' Liberty,626.0,2.8450479233226837,9.528229186879358,0.0,0.0,0.0,1.0,67.0,0.6677316293929713
Ananova,626.0,138.80670926517573,179.27785635407886,0.0,0.0,0.0,362.75,434.0,0.5846645367412141
Andover Advertiser,626.0,12.044728434504792,15.888549215272432,0.0,0.0,4.5,19.0,81.0,0.4696485623003195
Ayrshire Post,626.0,14.699680511182109,32.854334020000515,0.0,0.0,0.0,9.0,168.0,0.6789137380191693
BBC News,626.0,192.92651757188497,321.6841895270784,0.0,8.0,36.0,153.5,1506.0,0.03194888178913738
Bakery and Snacks,626.0,6.0814696485623,8.700422522882283,0.0,0.0,0.0,13.0,46.0,0.6150159744408946
Ballyclare Gazette,626.0,1.9904153354632588,2.9540324959655484,0.0,0.0,0.0,4.0,16.0,0.6405750798722045
Ballymena Times,626.0,6.9297124600638975,11.224466658028277,0.0,0.0,0.0,14.0,72.0,0.6261980830670927
Ballymoney Today,626.0,40.947284345047926,193.99387726578752,0.0,0.0,0.0,24.0,1517.0,0.634185303514377
Banbridge Leader,626.0,55.608626198083066,221.4473810670825,0.0,0.0,0.0,29.0,1513.0,0.5654952076677316
Banbury Guardian,626.0,59.56869009584665,115.77847500343665,0.0,0.0,0.0,34.0,923.0,0.6134185303514377
Barking and Dagenham Post,626.0,9.89297124600639,16.49134701950001,0.0,0.0,0.0,20.0,68.0,0.6916932907348243
Barnet Times,626.0,53.60223642172524,135.5985012121831,0.0,0.0,0.0,39.0,738.0,0.634185303514377
Barnsley Chronicle,626.0,6.354632587859425,8.61248132101268,0.0,0.0,0.0,10.0,48.0,0.5079872204472844
Basingstoke Gazette,626.0,40.343450479233226,54.86252138787593,0.0,0.0,29.0,47.0,344.0,0.38817891373801916
Beccles and Bungay Journal,626.0,9.562300319488818,17.165550164794134,0.0,0.0,0.0,20.0,86.0,0.7012779552715654
Bedford Times and Citizen,626.0,39.480830670926515,51.15226321433766,0.0,0.0,0.0,87.75,272.0,0.5047923322683706
Belfast Media,626.0,72.25399361022365,268.535151114385,0.0,0.0,0.0,25.0,3540.0,0.6485623003194888
Belfast Telegraph,626.0,421.59424920127793,501.121300986972,0.0,0.0,15.5,779.0,1746.0,0.48242811501597443
Belfast Today,626.0,5.725239616613418,19.676452575159274,0.0,0.0,0.0,0.0,127.0,0.9121405750798722
Berwick Today,626.0,10.696485623003195,15.740919021117952,0.0,0.0,0.0,18.0,100.0,0.5686900958466453
Bexhill Observer,626.0,29.12779552715655,53.29984279688379,0.0,0.0,0.0,39.0,275.0,0.5702875399361023
Birmingham Mail,626.0,128.70127795527156,196.04224499419558,0.0,0.0,0.0,187.0,685.0,0.5591054313099042
Bishop's Stortford Citizen,626.0,32.14057507987221,165.06040411627723,0.0,0.0,0.0,0.0,1188.0,0.854632587859425
Blackburn Citizen,626.0,57.843450479233226,76.375039463395,0.0,0.0,36.0,79.0,327.0,0.4472843450479233
Blackpool Citizen,626.0,18.563897763578275,44.39243077984276,0.0,0.0,0.5,9.75,245.0,0.5
Blackpool Today,626.0,21.345047923322685,41.49119366127829,0.0,0.0,0.0,12.25,244.0,0.7476038338658147
Bognor Today,626.0,34.77476038338658,47.69203273024218,0.0,0.0,7.0,57.0,206.0,0.48242811501597443
Bolton News,626.0,148.3258785942492,201.44751185662938,0.0,0.0,1.0,281.25,710.0,0.48881789137380194
Border Telegraph,626.0,2.8274760383386583,4.0432397726853795,0.0,0.0,0.0,4.0,35.0,0.5271565495207667
Borehamwood and Elstree Times,626.0,107.23642172523962,197.5582425902181,0.0,0.0,14.5,47.0,682.0,0.43450479233226835
Boston Standard,626.0,20.56070287539936,52.24030923784023,0.0,0.0,0.0,21.0,333.0,0.6198083067092651
Bournemouth Daily Echo,626.0,11.741214057507987,39.82594283483702,0.0,0.0,0.0,0.0,365.0,0.8738019169329073
Bracknell Times,626.0,16.027156549520768,34.774025670633144,0.0,0.0,0.0,10.0,155.0,0.6150159744408946
Bradford Telegraph & Argus,626.0,24.129392971246006,80.88028208822547,0.0,0.0,0.0,0.0,695.0,0.8594249201277955
Brechin Today,626.0,30.271565495207668,176.23781130672643,0.0,0.0,0.0,5.0,1456.0,0.5463258785942492
Brighton Evening Argus,626.0,14.549520766773163,56.48406451177153,0.0,0.0,0.0,0.0,618.0,0.8817891373801917
Bromley Times,626.0,4.519169329073482,9.024257972203687,0.0,0.0,0.0,0.0,46.0,0.7667731629392971
Buckingham Today,626.0,71.28115015974441,229.31086504593503,0.0,0.0,0.0,33.0,1083.0,0.6054313099041534
Bucks Free Press,626.0,9.896166134185304,26.131551834476944,0.0,0.0,0.0,0.0,163.0,0.8274760383386581
Bucks Herald,626.0,21.12779552715655,34.611715389048896,0.0,0.0,0.0,27.0,185.0,0.5031948881789138
Burnley Express,626.0,17.85143769968051,26.82122096269505,0.0,0.0,0.0,34.0,298.0,0.5559105431309904
Bury Free Press,626.0,24.185303514376997,29.477001334391726,0.0,0.0,0.0,49.75,172.0,0.512779552715655
Bury Times,626.0,73.87859424920129,144.08655605940723,0.0,0.0,2.0,46.0,568.0,0.48881789137380194
Business Weekly - UK,626.0,2.3722044728434506,7.218008185955733,0.0,0.0,0.0,0.0,49.0,0.8498402555910544
Buxton Advertiser,626.0,189.70766773162939,358.1590518262966,0.0,0.0,0.0,57.0,1151.0,0.5670926517571885
Cambridge Evening News,626.0,63.073482428115014,91.91638478363524,0.0,0.0,0.0,132.25,378.0,0.5031948881789138
Cambs Times,626.0,20.380191693290733,28.47757052494463,0.0,0.0,7.0,33.0,195.0,0.4536741214057508
Chard & Ilminster News,626.0,20.238019169329075,25.667583762988517,0.0,0.0,3.5,43.0,106.0,0.4840255591054313
