,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts,n_transcripts
year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
label,,,,,,,,,,,,,
24dash,0.0,0.0,0.0,1.0,6203.0,10229.0,10013.0,8951.0,7683.0,572.0,0.0,0.0,0.0
A World to Win blogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.0,404.0,47.0,0.0
Agra-net.com,0.0,0.0,0.0,0.0,32.0,0.0,42.0,3258.0,8246.0,1654.0,1089.0,70.0,0.0
Al-Sharq al-Awsat,0.0,0.0,0.0,20.0,5050.0,4512.0,6985.0,7096.0,6784.0,4303.0,922.0,0.0,0.0
Alliance for Workers' Liberty,19.0,20.0,21.0,28.0,14.0,18.0,15.0,10.0,22.0,25.0,587.0,1002.0,0.0
Ananova,0.0,0.0,0.0,0.0,13674.0,19453.0,21277.0,7595.0,18164.0,6730.0,0.0,0.0,0.0
Andover Advertiser,0.0,0.0,0.0,0.0,1446.0,2095.0,333.0,713.0,671.0,451.0,913.0,918.0,0.0
Ayrshire Post,0.0,0.0,0.0,0.0,321.0,1507.0,1735.0,0.0,20.0,4597.0,1022.0,0.0,0.0
BBC News,61.0,142.0,250.0,757.0,30641.0,2688.0,2256.0,1364.0,1920.0,17154.0,27476.0,33101.0,2962.0
Bakery and Snacks,0.0,0.0,0.0,0.0,272.0,327.0,643.0,872.0,968.0,644.0,81.0,0.0,0.0
Ballyclare Gazette,0.0,0.0,0.0,0.0,0.0,0.0,217.0,253.0,253.0,289.0,222.0,12.0,0.0
Ballymena Times,0.0,0.0,0.0,0.0,70.0,1168.0,844.0,581.0,769.0,906.0,0.0,0.0,0.0
Ballymoney Today,0.0,0.0,1.0,32.0,1143.0,1678.0,2469.0,12135.0,8175.0,0.0,0.0,0.0,0.0
Banbridge Leader,0.0,0.0,0.0,6.0,836.0,2718.0,1525.0,20060.0,8564.0,1102.0,0.0,0.0,0.0
Banbury Guardian,0.0,0.0,0.0,0.0,855.0,7136.0,11537.0,5247.0,11920.0,0.0,595.0,0.0,0.0
Barking and Dagenham Post,0.0,0.0,2.0,0.0,1464.0,2022.0,1545.0,1160.0,0.0,0.0,0.0,0.0,0.0
