coef,term
-19.68123509026883,relat articl
-18.219043208298313,email text
-5.651520640407235,larg section
-5.35970379647285,law order
-4.459605719510162,premier leagu
-4.0330716675375795,email friend print
-3.8741477490647673,friend print page
-3.8685177817006147,end season
-3.824305671191736,friend print
-3.8042157890076935,live council
-3.778925996658052,champion leagu
-3.772014951262903,tv news
-3.3590881629109,manchest citi
-3.34869938551168,second half
-3.2938633899628367,aston villa
-3.2814764359264745,celebr year
-3.1894746215852052,grand prix
-3.166998440804159,box offic
-3.0890566173599954,food safeti
-3.0800657785131587,travel site
-3.0186681628467733,debt crisi
-2.978593748055856,accrington stanley
-2.968287318358239,blackburn rover
-2.9245950190559498,west ham
-2.8561128537997678,london olymp
-2.824086510185485,britain apo
-2.816862254606509,new album
-2.7765277382248006,counti championship
-2.7633268009026595,heineken cup
-2.7396564878085576,oliv oil
-2.736772796728004,footbal associ
-2.695331949018621,oxford unit
-2.6916536434413993,latest news
-2.6786841858376276,leisur centr
-2.664559981821684,food drink
-2.663583486686001,start season
-2.6618936309899253,alex mcleish
-2.654458405037584,leagu divis
-2.6446466908294606,tv radio
-2.640403729196963,west brom
-2.622293596877451,real madrid
-2.579427741726428,offic uk
-2.563465304310602,head coach
-2.551153930179597,autumn statement
-2.5203017622186894,daili telegraph
-2.5190991391272024,new manag
-2.510089793749858,transfer window
-2.5059139615458554,ipswich town
-2.5046673672060193,knee injuri
-2.4968504325157013,super leagu
-2.4804905099701737,west indi
-2.471297602616226,britney spear
-2.467747276169354,arsen wenger
-2.459197313676584,feel like
-2.4442676579400704,celebr birthday
-2.438930424752234,hemel hempstead
-2.4185530449324717,new film
-2.409775121475804,phone hack
-2.351942241900124,ami winehous
-2.3507234650573268,footbal leagu
-2.327454972018025,gold cup
-2.324837256403843,score goal
-2.3232248784557736,premier divis
-2.3121856250121877,run time
-2.305235992498641,birmingham citi
-2.2956076678653368,stamford bridg
-2.2949349788677544,food bank
-2.273820845230014,today apo
-2.271956098720318,red card
-2.262752277695325,defend champion
-2.2581288865335716,debut album
-2.241637789151343,ryder cup
-2.228710804631666,european tour
-2.2106163586769876,art centr
-2.2033027890828047,look like
-2.201907138972213,apo apo
-2.1721808508130818,think say
-2.1663563915884767,manchest unit
-2.1540989727172124,london irish
-2.1264425246968384,young player
-2.118200947795215,person view
-2.113714259795986,food industri
-2.111606475492276,royal ascot
-2.1094508370627105,tell stori
-2.1054946211306955,film festiv
-2.0814780037926375,follow twitter
-2.0652762524495554,final round
-2.0586904219889233,classic music
-2.052613317968831,apo new
-2.0492787458662214,sound like
-2.0482818399189497,music festiv
-2.038364215174582,win game
-2.0256018524837924,real life
-2.0249753133598363,kevin pietersen
-2.02162455421039,road rail
-2.019161618432226,sign new
-1.9994931619965366,fa cup
-1.9980981967072127,cardiff citi
-1.9487488728894276,littl bit
-1.946304148152308,financi crisi
